"Actions","İşlemler"
"An error occurred while marking notification as read.","Bülten okundu olarak işaretlenirken bir hata meydana geldi."
"An error occurred while marking the messages as read.","Mesajlar okundu olarak işaretlenirken bir hata meydana geldi."
"An error occurred while removing messages.","Bülten silinirken bir hata meydana geldi."
"An error occurred while removing the message.","Mesaj silinirken bir hata meydana geldi."
"Are you sure?","Emin misiniz?"
"Date Added","Eklenme Tarihi"
"Last Update","Son Güncelleme"
"Mark as Read","Okundu Olarak Işaretle"
"Mark as read","Okundu Olarak Işaretle"
"Message","Mesaj"
"Messages Inbox","Mesaj Gelen Kutusu"
"Notifications","Bildirimler"
"Please select messages.","Lütfen mesajları seçiniz."
"Read Details","Detayları Oku"
"Remove","Sil"
"Severity","Seviye"
"Show List","Listeyi Göster"
"Show Toolbar","Araç Çubuğunu Göster"
"The message has been marked as read.","Mesaj okundu olarak işaretlendi."
"The message has been removed.","Mesaj silindi."
"Total of %d record(s) have been marked as read.","%d adet kayıt okundu olarak işaretlendi."
"Total of %d record(s) have been removed.","%d adet kayıt silindi."
"Unable to proceed. Please, try again.","İşlem yapılamıyor. Lütfen tekrar deneyiniz."
"Update Frequency","Güncelleme Sıklığı"
"Use HTTPS to Get Feed","Veri Akışı İçin HTTPS kullan"
"Wrong message type","Hatalı mesaj tipi"
"critical","kritik"
"major","büyük"
"minor","küçük"
"notice","bilgi"
