" The customer does not exist in the system anymore.","Bu müşteri sistemde bulunamadı."
" [deleted]"," [silindi]"
" and "," ve "
"%s (Default Template from Locale)","%s (Yerelleştirme klasöründeki varsayılan şablon)"
"%s cache type(s) disabled.","%s ön bellek tip(ler)i iptal edildi."
"%s cache type(s) enabled.","%s ön bellek tip(ler)i etkinleştirildi."
"%s cache type(s) refreshed.","%s ön bellek tip(ler)i yenilendi."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(""Yerel Sunucu"" seçeneği için Magento kurulumunun içindeki var/export veya var/import şeklindeki bir klasörü veriniz. Örnek: var/export, var/import, var/export/ornek/klasor, var/import/ornek/klasor) gibi"
"(For US 2-letter state names)","(ABD için 2 harfli eyalet kodları.)"
"(If left empty will be auto-generated)","(Boş bırakılırsa otomatik oluşturulur)"
"(Leave empty for first spreadsheet)","(İlk excel çalışma sayfası için boş bırakınız.)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(içeri aktarılan dosyada, 'store' veri alanı boş ise ürünler bu mağazaya eklenecek veya güncellenecek.)"
"(Shift-)Click or drag to change value","Değeri değiştirmek için (Shift-)Tıklayarak veya sürükleyiniz"
"(Starting with)","(ile başlıyor)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","('Hayır'ı seçerseniz, sadece eşleştirilmiş alanların verisi alınacak. Eşleştirme yaparken, 'column1', 'column2', şeklinde alan (kolon) adları kullanın.)"
"(You have to increase php memory_limit before changing this value)","(Bu değeri değiştirmeden önce php memory_limit değerini artırınız)"
"(\\t for tab)","(Sekme için \\t)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* -Eğer İndeks çalışıyorsa, durdurulacak ve yeni bir indeks süreci başlatılacak."
"* Required Fields","* Zorunlu Alanlar"
"- Click on any of the time parts to increase it","- Yükseltmek için saatin herhangi bir yerine tıklayınız."
"- Hold mouse button on any of the above buttons for faster selection.","- Hızlı seçim için fareyi yukarıdaki butonlardan herhangi birinin üzerinde tutun"
"- Use the %s buttons to select month","Ay seçmek için %s butonlarını kullanınız."
"- Use the %s, %s buttons to select year","Yıl seçmek için %s, %s butonunu kullanınız."
"- or Shift-click to decrease it","- veya azaltmak için Shift+ tıklayınız"
"- or click and drag for faster selection.","- veya hızlı seçim için tıkla ve sürükle"
"-- Not Selected --","-- Seçilmedi --"
"-- Please Select --","-- Lütfen Seçiniz --"
"-- Please Select Billing Agreement--","-- Lütfen Ödeme Onayı Seçiniz --"
"-- Please Select a Category --","--Lütfen bir kategori seçiniz--"
"-- Please select --","-- Lütfen Seçiniz --"
"--Please Select--","--Lütfen Seçiniz--"
"1 Hour","1 Saat"
"12 Hours","12 Saat"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Saat"
"24 Hours","24 Saat"
"24h","24h"
"2YTD","2YTD"
"6 Hours","6 Saat"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Hatası</h1><p>Sayfa Bulunamadı.</p>"
"<strong>%s</strong> requests access to your account","Hesabına <strong>%s</strong> girişler istendi."
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Dikkat</strong>: Resim onayı (CAPTCHA) büyük/küçük harfe duyarlıdır."
"A user with the same user name or email aleady exists.","Bu kullanıcı ismini veya e-posta adresini kullanan bir kullanıcı bulunuyor."
"API Key","API Anahtarı"
"API Key Confirmation","API Anahtarı Onayı"
"ASCII","ASCII"
"Abandoned Carts","Terk Edilmiş Sepetler"
"About the calendar","Takvim hakkında"
"Access Denied","Erişim Engellendi"
"Access denied","Erişim Engellendi"
"Access denied.","Erişim engellendi."
"Account Created in:","Hesap Oluşturuldu:"
"Account Created on (%s):","Hesap Oluşturulma Tarihi (%s):"
"Account Created on:","Oluşturulan Hesap:"
"Account Information","Hesap Bilgisi"
"Account Status","Hesap Durumu"
"Account status","Hesap Durumu"
"Action","İşlem"
"Actions","İşlemler"
"Actions XML","XML İşlemleri"
"Active","Aktif"
"Add","Ekle"
"Add Exception","İstisna ekle"
"Add Field Mapping","Alan Eşlemesi Ekle"
"Add Field with URL:","URL ile alan ekle:"
"Add New","Yeni Ekle"
"Add New Image","Yeni Resim Ekle"
"Add New Profile","Yeni Profil Ekle"
"Add New Role","Yeni Yetki Sınıfı Ekle"
"Add New Template","Yeni Şablon Ekle"
"Add New URL Rewrite","URL yeniden yazım Ekle"
"Add New User","Yeni Kullanıcı Ekle"
"Add New Variable","Yeni Değişken Ekle"
"Add Products","Ürünleri Ekle"
"Add URL Rewrite","URL Yeniden Yazma Ekle"
"Add URL Rewrite for a Category","Kategori için URL Yeniden Yazımı Ekle"
"Add URL Rewrite for a Product","Ürün için URL Yeniden Yazımı Ekle"
"Add after","Sonra Ekle"
"Additional Cache Management","Ek Ön Bellek Yönetimi"
"Address Type:","Adres Tipi:"
"Admin","Yönetim"
"Advanced Admin Section","Gelişmiş Yönetici Bölümü"
"Advanced Profiles","Gelişmiş Profiller"
"Advanced Section","Gelişmiş Bölüm"
"After authorization application will have access to you account.","Yetkilendirme uygulamasından sonra hesabınıza giriş yapmalısınız."
"All","Tümü"
"All Allowed Countries","İzin verilen Tüm ülkeler"
"All Cache","Tüm Ön Bellek"
"All Files","Bütün Dosyalar"
"All Reviews","Tüm Yorumlar"
"All Store Views","Tüm Mağaza Görünümleri"
"All Tags","Tüm Etiketler"
"All Websites","Tüm Websiteler"
"All countries","Tüm ülkeler"
"All fields","Tüm alanlar"
"All possible rates were fetched, please click on ""Save"" to apply","Kullanılabilir bütün oranlar alındı, ""Kaydet"" tuşuna basarak uygulayabilirsiniz"
"All rates were fetched, please click on ""Save"" to apply","Bütün oranlar getirildi, ""Kaydet"" tuşuna basarak uygulayabilirsiniz"
"All valid rates have been saved.","Bütün geçerli oranlar kaydedildi."
"Always (during development)","Herzaman (Geliştirme esnasında)"
"Amounts","Tutarlar"
"An error has occured while syncronizing media storages.","Medya depolama alanlarının eşlemesinde bir hata meydana geldi."
"An error occurred while clearing the JavaScript/CSS cache.","JavaScript/CSS ön belleği temizlenirken bir hata meydana geldi."
"An error occurred while clearing the image cache.","Resim ön belleği temizlenirken bir hata meydana geldi."
"An error occurred while deleting URL Rewrite.","URL yeniden yazım silinirken bir hata meydana geldi."
"An error occurred while deleting email template data. Please review log and try again.","E-posta şablon verisi silinirken bir hata meydana geldi. Lütfen logları gözden geçirip tekrar deneyiniz."
"An error occurred while deleting record(s).","Kayıt(lar) silinirken bir hata meydana geldi."
"An error occurred while deleting this role.","Bu rol silinirken bir hata meydana geldi."
"An error occurred while deleting this set.","Bu ayar silinirken bir hata meydana geldi."
"An error occurred while deleting this template.","Bu şablon silinirken bir hata meydana geldi."
"An error occurred while finishing process. Please refresh the cache","İşlem sonlandırılırken bir hata meydana geldi. Ön Belleği yenileyiniz"
"An error occurred while rebuilding the CatalogInventory Stock Status.","Envanter Stok Durumu yeniden oluşturulurken bir hata meydana geldi."
"An error occurred while rebuilding the catalog index.","Katalog indeksi yeniden oluşturulurken bir hata meydana geldi."
"An error occurred while rebuilding the flat catalog category.","Sabit kategori indeksi oluşturulurken bir hata meydana geldi."
"An error occurred while rebuilding the flat product catalog.","Sabit ürün indeksi oluşturulurken bir hata meydana geldi."
"An error occurred while rebuilding the search index.","Arama indeksi oluşturulurken bir hata meydana geldi."
"An error occurred while refreshing the Catalog Rewrites.","Katalog Adres Yeniden Yazımı yenilenirken bir hata meydana geldi."
"An error occurred while refreshing the Layered Navigation indices.","Katmanlı Gezinme indisleri yenilenirken bir hata meydana geldi."
