"Access denied.","Erişim engellendi."
"Can not find webservice adapter.","Webservis adaptörü bulunamadı."
"Client Session Timeout (sec.)","İstemci Zamanaşımı (saniye)"
"Default Response Charset","Cevap için Varsayılan Karakter Seti"
"Email","E-posta"
"Enable WSDL Cache","WSDL Ön Belleğini Etkinleştir"
"General Settings","Genel Ayarlar"
"Invalid webservice adapter specified.","Hatalı web servisi adaptörü tanımlandı."
"Invalid webservice handler specified.","Hatalı web servisi tutamacı tanımlandı."
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API Bölümü"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Rolleri"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Kullanıcıları"
"Unable to login.","Giriş yapılamadı."
"User Name","Kullanıcı Adı"
"WS-I Compliance","WS-I Uyumluluğu"
"Web Services","Web Servisleri"
"Your account has been deactivated.","Hesabınız pasifleştirildi."
