"--Please Select--","--Lütfen Seçiniz--"
"API Login ID","API Giriş No"
"Accepted Currency","Kabul Edilen Para Birimi"
"Authorize.net Direct Post","Authorize.net Direk Posta"
"Card Verification Number","Kart Güvenlik Numarası"
"Card Verification Number Visual Reference","Kart Güvenlik Numarası Görsel Referansı"
"Close","Kapat"
"Credit Card Information","Kredi Kartı Bilgisi"
"Credit Card Number","Kredi Kartı Numarası"
"Credit Card Type","Kredi Kartı Tipi"
"Credit Card Types","Kredi Kartı Tipleri"
"Credit Card Verification","Kredi Kartı Doğrulama"
"Debug","Hata Ayıklama"
"Email Customer","Müşteriye E-posta Gönder"
"Enabled","Aktif edildi"
"Expiration Date","Son Kullanma Tarihi"
"Gateway URL","Geçit URL"
"Maximum Order Total","En Yüksek Sipariş Toplamı"
"Merchant MD5","Satıcı MD5"
"Merchant's Email","Üye İşyeri E-posta Adresi"
"Minimum Order Total","En düşük Sipariş Toplamı"
"New Order Status","Yeni Sipariş Durumu"
"Order saving error: %s","Sipariş kaydedilirken bir hata meydana geldi: %s"
"Payment Action","Ödeme İşlemi"
"Payment authorization error.","Ödeme provizyon hatası."
"Payment authorization error. Transacion id is empty.","Ödeme provizyon hatası. İşlem numarası boş."
"Payment error. Order was not found.","Ödeme hatası. Sipariş bulunamadı."
"Payment error. Paid amount doesn\'t match the order amount.","Ödeme hatası. Alınan ödeme ile sipariş tutarı ile eşleşmiyor."
"Payment from Applicable Countries","Mümkün olan Ülkelerden Tahsilat"
"Payment from Specific Countries","Sadece Seçilen Ülkelerden Tahsilat"
"Please, choose payment method","Lütfen ödeme yöntemi seçiniz"
"Response hash validation failed. Transaction declined.","Veri akışı esnasında anahtar kelime eşlemesi yapılamadı. İşlem reddedildi."
"Sort Order","Sıralama"
"Test Mode","Test Kipi"
"The order has been created.","Sipariş oluşturuldu."
"There was an error processing your order. Please contact us or try again later.","Sipariş işleminde bir hata meydana geldi. Lütfen bizimle irtibata geçiniz veya daha sonra tekrar deneyiniz."
"Title","Başlık"
"Transaction Key","İşlem Anahtarı"
"What is this?","Bu nedir?"
"You will be required to enter your payment details before you place an order.","Siparişi tamamlamak için istenen ödeme detaylarınızı girmeniz gerekiyor."
