"Action","İşlem"
"An error occurred while creating the backup.","Yedek oluşturulurken bir hata meydana geldi."
"An error occurred while writing to the backup file ""%s"".","Yedek dosyası kaydedilirken bir hata meydana geldi: ""%s""."
"Are you sure you want to delete the selected backup(s)?","Seçilen yedek(ler)i silmek istediğinizden emin misiniz?"
"Backup Type","Yedek Tipi"
"Backup file ""%s"" cannot be read from or written to."," ""%s"" yedek dosyasına erişilemiyor."
"Backup file ""%s"" does not exist."," ""%s"" adlı yedek dosyası bulunamıyor."
"Backup file does not exist.","Yedek dosyası yok."
"Backup file handler was unspecified.","Yedek dosyası tutamacı belirtilmedi."
"Backup file not found","Yedek dosyası bulunamadı"
"Backup file path was not specified.","Yedek dosyası yolu belirtilmedi."
"Backups","Yedekler"
"Cannot read backup file.","Yedek dosyası okunamıyor."
"Create Backup","Yedek Oluştur"
"Database","Veritabanı"
"Database Backup","Veritabanı Yedeği"
"Database and Media","Veritabanı ve Medya"
"Database and Media Backup","Veritabanı ve Medya Yedeği"
"Database was successfuly backed up.","Veritabanı başarıyla yedeklendi."
"Download","indir"
"Enable Scheduled Backup","Zamanlanmış Yedeklemeyi Aç"
"Failed to connect to FTP","FTP ye bağlanılırken hata oluştu"
"Failed to delete one or several backups.","Yedek silinirken hata oluştu."
"Failed to rollback","Yedek geri yüklenirken hata oluştu"
"Failed to validate FTP","FTP doğrulamada hata oluştu"
"Frequency","Sıklık"
"Invalid Password.","Hatalı Şifre."
"Maintenance Mode","Bakım Modu"
"Name","Adı"
"Not enough free space to create backup.","Yedek için yeterli boş yer yok."
"Not enough permissions to create backup.","Yedek için yeterli yetki yok."
"Not enough permissions to perform rollback","Yedeği geri yüklemek için yeterli yetki yok"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Lütfen ""bakım modunda mağazayı koy"" seçeneğini kaldırın veya bakım kipi çalışırken yetkilerinizi güncelleyin"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Lütfen ""bakım modunda mağazayı koy"" seçeneğini kaldırın veya geriye alma çalışırken yetkilerinizi güncelleyin"
"Put store on the maintenance mode while backup's creation","Yedek oluştururken siteyi bakım moduna al"
"Rollback","Geri Yükleme"
"Scheduled Backup Settings","Zamanlanmış Yedekleme Ayarları"
"Size, Bytes","Boyut, Bayt"
"Start Time","Başlama Zamanı"
"System","Sistem"
"System (excluding Media)","Sistem (Medya hariç)"
"System Backup","Sistem Yedekleme"
"System couldn't put store on the maintenance mode","Sistem, mağazayı bakım moduna alamadı"
"The database and media backup has been created.","Veritabanı ve medya yedeği oluşturuldu."
"The database backup has been created.","Veritabanı yedeği oluşturuldu."
"The file was compressed with Zlib, but this extension is not installed on server.","Dosya Zlib ile sıkıştırılmış, ancak sunucuda bu PHP eklentisi kurulu değil."
"The selected backup(s) has been deleted.","Seçili yedek(ler) silindi."
"The system (excluding Media) backup has been created.","Sistem (Media klasörü hariç) yedeği oluşturuldu."
"The system backup has been created.","Sistem yedeği oluşturuldu."
"Time","Saat"
"Type","Tip"
"Unable to create backup. Please, try again later.","Yedek oluşturulamadı. Lütfen daha sonra tekrar deneyiniz."
"Unable to save the cron expression.","Zamanlanmış görev (Cron) ifadesi kaydedilemedi."
"Wrong order of creation for new backup.","Yeni yedek oluşturmak için yanlış sıralama."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Bu işlem sırasında siteyi Bakım Moduna almak için yeterli yetkiniz yok."
