"* Required Fields","* Zorunlu Alanlar"
"-- Select --","-- Seçiniz --"
"Add New Option","Yeni Seçenek Ekle"
"Add Selection","Seçim Ekle"
"As Low as","En düşük"
"As low as","En düşük"
"Bundle Items","Birleştirilmiş Ürünler"
"Bundle Product","Birleştirilmiş Ürün"
"Buy %1$s with %2$s discount each","Her birini %2$s iskonto ile  %1$s Satın Al"
"Catalog Product View (Bundle)","Katalog Ürün Görünümü (Ek Ürün)"
"Checkbox","Onay Kutusu"
"Choose a selection...","Bir seçim seçiniz…"
"Close","Kapat"
"Default","Varsayılan"
"Default Qty","Varsayılan Adet"
"Default Title","Varsayılan Başlık"
"Drop-down","Açılır Menü"
"Dynamic","Dinamik"
"Excl. Tax","Vergi Hariç"
"Fixed","Sabit"
"From","Baş"
"From:","Kimden:"
"Gift Message","Hediye Mesajı"
"Incl. Tax","Vergi Dahil"
"Input Type","Giriş Tipi"
"Is Required","Zorunlu"
"Message:","Mesaj:"
"Multiple Select","Çoklu Seçim"
"N/A","Mevcut Değil"
"No options of this product are available.","Bu ürünün seçenekleri yok."
"None","Yok"
"Percent","Yüzde"
"Percent Discount","İndirim Yüzdesi"
"Please Select Products to Add","Eklenecek Ürünleri Seçiniz"
"Please enter a number greater 0 in this field.","Lütfen bu alana 0 dan büyük bir sayı giriniz."
"Please enter search conditions to view products.","Ürünleri görmek için anahtar kelime giriniz."
"Please select options for product.","Lütfen ürün için seçenek seçiniz."
"Please specify product option(s).","Lütfen ürün seçenek(ler)ini tanımlayınz."
"Position","Konum"
"Price Range","Fiyat Aralığı"
"Price Type","Fiyat Tipi"
"Price as configured","Ayarlanan fiyat"
"Qty:","Miktar:"
"Radio Buttons","Çoktan Seçmeli"
"Required options are not selected.","Zorunlu alanlar seçilmemiş."
"Selected required options are not available.","Seçilen zorunlu seçenekler kullanılabilir değil."
"Separately","Tek başına"
"Ship Bundle Items","Birleştirilmiş Ürünleri Teslim Et"
"Shipment","Teslimat"
"Store View Title","Mağaza Görünüm Başlığı"
"There is no defined renderer for ""%s"" option type.","""%s"" seçenek tipi için belirlenmiş yorumlayıcı yok."
"This product is also part of bundle(s)","Bu ürün zaten birleştirilmiş ürünlerin bir parçsıdır."
"To","Bit"
"To:","Kime:"
"Together","Beraber"
"Use Default Value","Varsayılan Değeri Kullan"
"User Defined Qty","Kullanıcı Tarafından Seçilen Adet"
