"%s and greater","%s veya daha büyük"
"<strong>%d item(s)</strong> were found using the following search criteria","Aradığınız kelime ile <strong>%d ürün</strong> bulundu"
"Advanced Search","Gelişmiş Arama"
"Advanced Search Form","Gelişmiş Arama Formu"
"Advanced Search Result","Gelişmiş Arama Sonucu"
"All","Tümü"
"Applies for ""Like"" search type only.","Sadece ""Like"" arama tipine uygulanır."
"Apply Layered Navigation if Search Results are Less Than","Eğer arama sonuçları bundan daha düşükse Katmanlı Gezinmeyi Uygula"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Özellik ayar değişikliği, Arama indeksi ile ilişkilidir. Lütfen Arama İndeksini Yeniden <a href=""%s"">çalıştırınız</a>"
"Autogenerated Site Map","Otomatik Oluşturulmuş Site Haritası"
"Catalog Advanced Search","Katalogda Gelişmiş Arama"
"Catalog Search","Katalog Araması"
"Catalog Search Index","Katalog Arama indeksi"
"Don't see what you're looking for?","Aradığınızı bulamıyor musunuz?"
"Enter ""0"" to enable layered navigation for any number of results.","Herhangi bir arama sonucu sayısında etkin hale getirmek için 0 (Sıfır) giriniz."
"Go","Git"
"Go to Home Page","Ana Sayfaya Git"
"Grid","Izgara"
"Home","Ana Sayfa"
"List","Liste"
"Maximum Query Length","En fazla Arama Uzunluğu"
"Maximum Query Words Count","En fazla Arama Kelime Sayısı"
"Maximum Search query length is %s. Your query was cut.","En yüksek arama kelime uzunluğu %s. Arama kelimeniz kısaltılmıştır."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","En fazla kelime adedi %1$s. Arama sorgunuzda çok fazla kelime olduğu için izin verilenden sonrası kesilecek: %2$s."
"Minimal Query Length","En kısa Arama Uzunluğu"
"Minimum Search query length is %s","En kısa arama kelimesi boyutu %s"
"Modify your search","Aramanızı düzenleyin"
"No","Hayır"
"No items were found using the following search criteria.","Arama kriterlerine uygun sonuç bulunamadı."
"Please specify at least one search term.","Lütfen en az bir kelime giriniz."
"Popular Search Terms","En çok Arananlar"
"Quick Search Form","Hızlı Arama Formu"
"Rebuild Catalog product fulltext search index","Katalog ürün arama indeksini yenile"
"Relevance","Uygunluk"
"Results","Sonuçlar"
"Search","Arama"
"Search Settings","Arama Ayarları"
"Search Terms","Aranan Koşullar"
"Search Type","Arama Tipi"
"Search entire store here...","Aranan kelimeyi buraya yazınız..."
"Search results for '%s'","'%s' için arama sonuçları"
"Search results for: '%s'","'%s' için arama sonuçları"
"Search:","Arama:"
"Specified date is invalid.","Belirtilen tarih hatalı."
"Subscribe to Feed","Veri Akışına Üye Ol"
"There are no search terms available.","Uygun arama koşulları bulunamadı."
"Yes","Evet"
"Your search returns no results.","Arama sonucunda sonuç yok."
"up to %s","%s'e kadar"
