"Collected Files Count","Toparlanan Dosya Sayısı"
"Compilation","Derleme"
"Compilation State","Derleme Durumu"
"Compilation error","Derleme hatası"
"Compiled","Derlendi"
"Compiled Scopes Count","Derlenen Havuz Sayısı"
"Compiler Status","Derleyici Durumu"
"Compiler include path is disabled.","Derleme klasörü devre dışı."
"Compiler include path is enabled.","Derleme klasörü devrede."
"Directory ""%s"" must be writeable","""%s"" dizini yazdırılabilir olmalıdır"
"Disable","İptal et"
"Disabled","Kapalı"
"Enable","Aktif et"
"Enabled","Aktif edildi"
"File ""%s"" must be writeable","""%s"" dosyası yazdırılabilir olmalıdır"
"Not Compiled","Derlenmedi"
"Run Compilation Process","Derleme İşlemini Başlat"
"Scopes Compilation Settings","Kapsam Derleme Ayarları"
"System","Sistem"
"The compilation has completed.","Derleme işlemi tamamlandı."
"Tools","Araçlar"
