"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Zamanlanmış Görevler) - bütün zamanlar dakika bazındadır"
"Daily","Günlük"
"Failure History Lifetime","Hata Geçmişi Saklama Süresi"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Zamanlanmış görevler tarafından üretilen URL lerin doğru olması için Sistem > Web > Güvenli ve Güvenli Olmayan Ana URL verilerinin doğru olduğundan emin olunuz."
"Generate Schedules Every","Zaman Çizelgelerini Oluşturma Sıklığı"
"History Cleanup Every","Geçmişi Silme Sıklığı"
"Invalid callback: %s::%s does not exist","Hatalı geri çağrım: %s::%s bulunamıyor"
"Invalid model/method definition, expecting ""model/class::method"".","Hatalı model/metod ayarlaması, beklenen ""model/class::method""."
"Missed if Not Run Within","Birlikte çalışmıyorsa atla"
"Monthly","Aylık"
"No callbacks found","Geri çağrım bulunamadı"
"Schedule Ahead for","için zamanlama"
"Success History Lifetime","Başarılı İşlem Geçmişi Saklama Süresi"
"Too late for the schedule.","Zamanlama için çok geç."
"Unable to save the cron expression.","Zamanlanmış görev (Cron) ifadesi kaydedilemedi."
"Weekly","Haftalık"
