"-- Please select --","-- Lütfen Seçiniz --"
"Allowed Currencies","İzin Verilen Para Birimleri"
"Base Currency","Ana Para Birimi"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Ana para birimi sistemden yapılacak tüm ödeme işlemlerinde kullanılacaktır. Fiyat havuzu Katalog fiyat havuzundan alınmaktadır (""Katalog"" > ""Fiyat"" > ""Katalog Fiyat Havuzu"")."
"Can\'t convert rate from ""%s-%s"".","""%s-%s"" döviz çevrimi yapılamıyor."
"Cannot retrieve rate from %s.","%s adresinden döviz kuru bilgisi alınamadı."
"Connection Timeout in Seconds","Bağlantı Zaman Aşımı ( sn)"
"Continue &raquo;","Devam &raquo;"
"Country","Ülke"
"Country API","Ülke API si"
"Country and Format Type combination should be unique","Ülke ve format bilgileri eşsiz olmalıdır"
"Currency","Para Birimi"
"Currency Options","Para Birimi Seçenekleri"
"Currency Setup","Para Birimi Ayarları"
"Currency Update Warnings","Kur Güncelleme Uyarıları"
"Default Display Currency","Varsayılan Para birimini Göster"
"Directory","Dizin"
"Display not required State","Gerekli olmayan şehirleri de göster"
"Enabled","Aktif edildi"
"Error Email Recipient","Hata Bildirimi E-posta Alıcısı"
"Error Email Sender","Hata Bildirimi E-posta Göndericisi"
"Error Email Template","Hata Bildirimi E-posta Şablonu"
"FATAL ERROR:","KURTARILAMAZ HATA:"
"Frequency","Sıklık"
"Installed Currencies","Yüklenmiş Para Birimleri"
"Invalid Import Service specified.","Hatalı veri alma servisi tanımlandı."
"Invalid country code: %s","Hatalı Ülke Kodu: %s"
"Invalid rates received","Alınan kur bilgileri hatalı"
"Invalid target currency.","Hatalı hedef para birimi."
"List of countries","Ülke listesi"
"List of regions in specified country","Seçilen ülkenin bölge listesi"
"Postal Code is Optional for the following countries","Belirlenen ülkeler için Posta Kodu zorunlu değildir"
"Region","Bölge"
"Region API","Bölge API si"
"Scheduled Import Settings","Zamanlanmış İçeri Aktarma Ayarları"
"Select Your Currency","Para Birimi Seçiniz"
"Service","Servis"
"Start Time","Başlama Zamanı"
"State is required for","için eylaet zorunludur"
"State/Province","Eyalet/Şehir"
"States Options","Eyalet Seçenekleri"
"Unable to initialize the import model.","İçeri Aktarma modeli başlatılamadı."
"Undefined rate from ""%s-%s"".","""%s-%"" tarafından tanımlanmamış oran"
"WARNING:","UYARI:"
"Webservicex","Webservicex"
"Your current currency is: %s","Mevcut Para Biriminiz: %s"
