"An error occurred while clearing the external full page cache.","Harici Tam Sayfa Ön Bellek temizlenirken bir hata meydana geldi."
"Cookie Lifetime (seconds)","Çerez Ömrü (saniye)"
"Enable External Cache","Harici Ön Belleği Aktif et"
"External Cache Control","Harici Ön Bellek Kontrolü"
"External Full Page Cache Settings","Harici Tam Sayfa Ön Bellek Ayarları"
"External full page cache.","Harici tam sayfa ön bellek."
"Failed to load external cache control","Harici Tam Sayfa Ön Bellek yüklenirken bir hata meydana geldi"
"Flush External Page Cache","Harici Tam Sayfa Ön Belleğini Tazele"
"If empty, default value will be used.","Eğer boş bırakırsanız, varsayılan değer kullanılacaktır."
"The external full page cache has been cleaned.","Harici Tam Sayfa Ön Belleği temizlendi."
"Zend Full Page Cache","Zend Tam Sayfa Ön Bellek"
