"-OR-","-VEYA-"
"2-pixel perimeter around the header space.","Başlık alanına 2 piksel boşluk bırak."
"3D Secure","3D Güvenlik Çemberi"
"3D Secure Card Validation","3D Güvenlik Çemberi Kredi Kartı Doğrulama"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Maestro kartlar için 3D Güvenlik onayı gerekmektedir. Amerikan Ekspres kartları ek anlaşma yapılması gerekmektedir. Detaylı bilgi için <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Paypal ile ödeme kabul etmeye başlayın!</a>"
"A case that has been resolved and close requires a reimbursement.","Çözülmüş ve kapatılmış işlem için geri aide gerekmektedir."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Müşteri ile dolandırma şüohesi ile yaşanan ihtilaf sebebiyle geri iade işlemi gerçekleşti."
"A reversal has occurred on this transaction because you have given the customer a refund.","Müşterinin iade talebi sebebiyle geri iade işlemi gerçekleşti."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Müşteri tarafından talep edilen para iadesi ile geri iade işlemi gerçekleşti."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Müşteri tarafından bir şikayet sebebiyle geri iade işlemi gerçekleşti."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Müşteri tarafından talep edilen para iade garantisi ile geri iade işlemi gerçekleşti."
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Gerçek ortam moduna geçmek için değer gerekiyor. CardinalCommerce sözleşmenize bakınız."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Depoziti (İhtilaf veya sahte ödeme durumları için)"
"ACH Deposit (Reversal)","ACH Depoziti (Ters)"
"ACH Funding for Funds Recovery from Account Balance","Garanti Fonuna payı için ACH Fonuna Hesaptan düşülecek miktar"
"ACH Withdrawal","ACH Para Çekme"
"API Authentication Methods","API Doğrulama Yöntemleri"
"API Certificate","API Sertifikası"
"API Password","API Şifresi"
"API Signature","API İmzası"
"API Username","API Kullanıcı Adı"
"API Uses Proxy","API Geçit Kullanır"
"Ability for buyer to purchase without PayPal account.","PayPal hesabı olmadan satın almak için alıcı özelliği"
"Accept credit card and PayPal payments securely.","Güvenli bir şekilde kredi kartı ve paypal ödemelerini kabul et."
"Accept credit cards, debit cards and PayPal payments securely.","Güvenli bir şekilde banka kartı kredi kartı ve paypal ödemelerini kabul et."
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","Alışveriş sepetindeki ödemeleri kabul et. PayPal, kredi kartı ödemelerini Payflow Tahsilat Servisi ile işleme alacaktır."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Sitenizde müşterilerinizi tutabilmek için PCI uyumlu alışveriş sayfası ile ödemeleri kabul edin"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Sitenizde müşterilerinizi tutabilmek için PCI uyumlu alışveriş sayfası ile ödemeleri kabul edin"
"Accept payments with a completely customizable checkout page.","Ödemeleri tamamıyla özelleştirilmiş alışverişi sonlandır sayfasıyla abul et."
"Accept payments with a completely customizable checkout.","Ödemeleri tamamıyla özelleştirilmiş alışverişi sonlandır sayfasıyla abul et."
"Acceptance Mark","Kabul İşareti"
"Acceptance Mark Image","Kabul İşareti Resmi"
"Account-to-Account Payment, initiated by PayPal","Hesaptan hesaba ödeme Paypal tarafından başlatıldı"
"Add PayPal as an additional payment method to your checkout page to increase your sales.","Satışlarını arttırmak için alışverişi sonlandır sayfanıza alternatif ödeme yöntemi olarak Paypal 'ı ekle"
"Add PayPal as an additional payment method to your checkout page.","Alışverişi sonlandır sayfanıza alternatif ödeme yöntemi olarak Paypal 'ı ekle"
"Add another payment method to your existing solution or as a stand-alone option.","Mevcut çözüme veya tekil seçeneğe alternatif ödeme metodu ekle"
"Additional Options","Ek Seçenekler"
"Address","Adres"
"Address Verification System Response","Adres Doğrulama Sistemi Cevabı"
"Advanced Settings","Gelişmiş Ayarlar"
"All the address information matched","Bütün adres bilgileri eşleşti"
"Allow in Billing Agreement Wizard","Ödeme Anlaşması Sihirbazında İzin Ver"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","İzin verilen değerler: ""paypal"", ""primary"" (varsayılan), sizin_belirlediginiz_deger (PayPal profilinizde belirlediğiniz özel sayfa stili)."
"Allowed Credit Card Types","Kullanılabilen Kart Tipleri"
"Also affects mini-shopping cart.","Mini alışveriş sepetini de etkiler."
"Ask Customer","Müşteriye Sor"
"Attempted Authentication, Bad Result","Doğrulama girişimi, Sonuç Başarısız"
"Attempted Authentication, Good Result","Doğrulama girişimi, Sonuç Başarılı"
"Auction Payment other than through eBay","eBay dışında bir Açık Artırma Ödemesi"
"Authenticated, Bad Result","Onaylandı, Sonuç Başarısız"
"Authenticated, Good Result","Onaylandı, Sonuç Başarılı"
"Authorization","Yetkilendirme"
"Authorization Honor Period (days)","Authorization Honor Period (days)"
"Authorization transaction is required to void.","İptal için kimlik doğrulaması işlemi gerekiyor."
"Authorized amount of %s.","%s onaylanmış tutar."
"Authorizing amount of %s is pending approval on gateway.","Tahsilat servisinde %s provizyon verilen tutar onay bekliyor."
"Auto","Otomatik"
"AutoSweep","OtoTemizle"
"Available Balance","Kullanılabilir Bakiye"
"Balance Manager Account Bonus","Bakiye Yöneticisi Hesabı"
"Basic Settings - PayPal Express Checkout","Başlangıç Ayarları - PayPal Express Checkout"
"Basic Settings - PayPal Integral Evolution","Başlangıç Ayarları - PayPal Integral Evolution"
"Basic Settings - PayPal Pasarela integral","Başlangıç Ayarları - PayPal Pasarela integral"
"Basic Settings - PayPal Payflow Link","Başlangıç Ayarları - PayPal Payflow Link"
"Basic Settings - PayPal Payflow Pro","Başlangıç Ayarları - PayPal Payflow Pro"
"Basic Settings - PayPal Payments Advanced","Başlangıç Ayarları - PayPal Payments Advanced"
"Basic Settings - PayPal Payments Pro","Başlangıç Ayarları - PayPal Payments Pro"
"Basic Settings - PayPal Payments Pro Hosted Solution","Başlangıç Ayarları - PayPal Payments Pro Hosted Solution"
"Basic Settings - PayPal Payments Standard","Başlangıç Ayarları - PayPal Payments Standard"
"Basic Settings - PayPal Pro","Başlangıç Ayarları - PayPal Pro"
"Basic Settings - PayPal Website Payments Plus","Başlangıç Ayarları - PayPal Website Payments Plus"
"Basic Settings - PayPal Website Payments Pro","Başlangıç Ayarları - PayPal Website Payments Pro"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Başlangıç Ayarları - PayPal Website Payments Pro Hosted Solution"
"Basic Settings - PayPal Website Payments Pro Payflow Edition","Başlangıç Ayarları - PayPal Website Payments Pro Payflow Edition"
"Basic Settings - PayPal Website Payments Standard","Başlangıç Ayarları - PayPal Website Payments Standard"
"Billing Address","Fatura Adresi"
"Billing Agreement Signup","Ödeme Sözleşmesi Üyeliği"
"Bonus for first ACH Use","İlk ACH Kullanımı için Bonus"
"Both section above must be complete. ","Yukarıdaki her iki bölümde doldurulmalı."
"Buyer Credit Payment","Alıcı Kredi Ödemesi"
"Buyer claims that a possible duplicate payment was made to the merchant.","Alıcı, satıcının çift ödeme aldığını iddia ediyor."
"Buyer claims that he did not receive goods or service.","Alıcı, mal veya hizmeti alamadığını iddia ediyor."
"Buyer claims that he/she did not authorize transaction.","Alıcı, işlem için yetkili olunmadığını iddia ediyor."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Alıcı, mal veya hizmetin satın  alınırken iddia edilen içerikten farklı olduğunu iddia ediyor."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Alıcı, alınan malın arızalı veya hasarlı olduğu iddia ediyor."
"Buyer\'s Tax ID","Alıcının Vergi Numarası"
"Buyer\'s Tax ID Type","Alıcının Vergi Numarası Tipi"
"By default it is ""reports.paypal.com"".","Varsayılan değer ""reports.paypal.com""."
"CNPJ","CNPJ"
"CPF","CPF"
"CVV Entry is Editable","CVV Bilgisi düzenlenebilir"
"CVV2 Check Result by PayPal","Paypal tarafından sağlanan CVV2 Kontrol Sonucu"
"Can not send new order email.","Yeni sipariş e-postası gönderilemiyor."
"Cannot create target file for reading reports.","Raporları okumak için oluşturulması gereken dosya oluşturulamadı."
"Centinel API URL","Centinel Api URL"
"Centinel Custom API URL","Centinel Özel Api URL"
"Charge-off","Kesinti"
"Chargeback","Geri Ödeme"
"Checkout with PayPal","PayPal ile Alışveriş"
"Choose a secure bundled payment solution for your business.","Bu işlem için güvenli birleştirilmiş bir ödeme seçeneği seçiniz."
"City","Şehir"
"Click here if you are not redirected within 10 seconds...","Eğer 10 saniye içinde yönlendirilmezseniz buraya tıklayınız..."
"Close","Kapat"
"Company","Şirket"
"Complaint","Uysal"
"Completion Date","Tamamlanma Tarihi"
"Configure","Yapılandır"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Satıcı hesabınızla, müşterilerinizin siteden ayrılmadan PCI uyumlu ödeme seçeneği ile bağlayın"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Satıcı hesabınızla, müşterilerinizin siteden ayrılmadan tamamen özelleştirilebilen ödeme seçeneği ile bağlayın"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Yeni raporları almak için PayPal SFTP sunucusu ile bağlantı kuruluyor. Bu işlemi devam etmek istediğinizden emin misiniz?"
"Continue","Devam et"
"Countries Payment Applicable From","Ödeme Kabul edilen Ülkeler"
"Country","Ülke"
"Coupon Redemption","Kupon Bozdurma"
"Credit","Kredi"
"Credit Card Settings","Kredi Kartı Ayarları"
"Currency Conversion required to cover negative balance","Negatif bakiyeyi kapatmak için Döviz Çevrimi gerekiyor"
"Custom","Özel"
"Custom Endpoint Hostname or IP-Address","Özel Sunucu Adresi veya IP Adresi"
"Custom Path","Özel Dosya Yolu"
"Customer Information","Müşteri Bilgisi"
"Customer did not include a confirmed address.","Müşteri onaylanmış bir adrese sahip değil."
"Daily","Günlük"
"Debit","Debit Kartı"
"Debit Card Cash Back","Debit Kartı Geri Ödemesi"
"Debit Card Transaction","Debit Kart İşlemi"
"Debit or Credit","Banka hesabı veya Kredi"
"Debug Mode","Hata Ayıklama Modu"
"Direct Payment API","Direkt Ödeme API"
"Discount","İndirim"
"Display Express Checkout in the Payment Information step","Ödeme Bilgisi adımında Express Checkout u göster"
"Displays on catalog pages and homepage.","Katalog sayfalarında ve Ana sayfada gözükür."
"Dispute","İhtilaf"
"Don't have a PayPal account? Simply enter your email address.","Bir PayPal hesabınız yok mu? Sadce e-posta adresinizi giriniz."
"Dynamic","Dinamik"
"EFT Funding (German banking)","EFT Ödemesi (Alman Bankaları için)"
"Edit Shopping Cart","Alışveriş Sepetini Düzenle"
"Email Address","E-posta Adresiniz"
"Email Associated with PayPal Merchant Account","E-posta Adresi PayPal Ticari Hesapla Bağlantılı"
"Email Associated with PayPal Merchant Account (Optional)","E-posta Associated with PayPal Merchant Account (Opsiyonel)"
"Enable Automatic Fetching","Otomatik getirmeyi Aktif et"
"Enable Express Checkout","Express Checkout Aktif et"
"Enable PayPal Guest Checkout","PayPal Guest Checkout Aktif et"
"Enable Payflow Link","Payflow Link Aktif et"
"Enable SSL verification","SSL doğrulamayı Aktif et"
"Enable this Solution","Bu çözümü Aktif et"
"Enabled","Aktif edildi"
"Event","Olay"
"Event Code","Olay Kodu"
"Every 10 days","Her 10 günde bir"
"Every 14 days","Her 14 günde bir"
"Every 3 days","Her 3 günde bir"
"Every 30 days","Her 30 günde bir"
"Every 40 days","Her 40 günde bir"
"Every 7 days","Her 7 günde bir"
"Exact Match. Address and Postal Code. International","Tam Eşleme. Adres ve Posta Kodu. Uluslararası"
"Exact Match. Address and Postal Code. UK-specific","Tam Eşleme. Adres ve Posta Kodu. Sadece İngiltere"
"Exact Match. Address and nine-digit ZIP code","Tam Eşleme. Adres ve 9 haneli Posta kodu"
"Express Checkout","Express Checkout"
"Express Checkout APIs","Ekspres Ödeme API leri"
"Express Checkout and Order have been canceled.","Ekspres Ödeme ve Sipariş iptal edildi."
"Express Checkout has been canceled.","Ekspres Ödeme iptal edildi."
"Failed to fetch reports from '%s@%s'.","%s@%s' adresinden raporlar getirilemedi."
"Fax","Faks"
"Fee Amount","Ücret Tutarı"
"Fee Debit or Credit","Ücret Debit veya Kredi"
"Fee Reversal","Ücret Geri Ödeme"
"Fee: Foreign ACH Withdrawal","Ücret: Yabancı ACH Para Çekimi"
"Fee: Mass Pay Request","Ücret: Toplu Ödeme İsteği"
"Fee: Web Site Payments Pro Account Monthly","Ücret: Web Site Payments Pro Hesabı için Aylık Ücret"
"Fee: WorldLink Check Withdrawal","Ücret: WorldLink Çek ödemesi"
"Fetch","Getir"
"Fetch Updates","Güncellemeleri Getir"
"Fetched %s report rows from '%s@%s'.","%s rapor satırları '%s@%s'  dan getirildi."
"For Virtual Quotes Only","Sadece Sanal Sepetler İçin"
"Frontend Experience Settings","Ön Sayfa Deneyim Ayarları"
"Funding","Fonlamak"
"General (Authorization)","Genel (Kimlik Onayı)"
"General (Dividend)","Genel (Kar Payı)"
"General (Funds Transfer from PayPal Account to Another)","Genel (Bir PayPal hesabından diğerine Aktarılan Para)"
"General (Purchase with a credit card)","Genel (Kredi Kartıyla Satın Alma)"
"General Adjustment without businessrelated event","İşle alakasız olay için Genel Ayarlama"
"General Currency Conversion","Genel Döviz Çevrimi"
"General Funding of PayPal Account ","Genel PayPal Hesabına Para Ekleme"
"General Redemption","Genel Geri Alma"
"General Withdrawal from PayPal Account","Genel Paypal Hesabından Para Çekme"
"General. Product no longer supported","Genel. Ürün desteklenmiyor"
"General: Use of PayPal account for purchasing as well as receiving payments","Genel: PayPal hesabının ödeme yapma ve para tahsilatı için kullanılması"
"General: Withdrawal from PayPal Account","Genel: Paypal Hesabından Para Çekme"
"General: Withdrawal to Non-Bank Entity","Genel: Banka olmayan bir kurum üzerinden Para Çekme"
"General: adjustment of a type not belonging to the other T12xx categories","Genel: Diğer T12xx kategorilerine ait olmayan tipte ayarlama"
"General: bonus of a type not belonging to the other T08xx categories","Genel: Diğer T08xx kategorilerine ait olmayan tipte kazanç"
"General: event not yet categorized","Genel: olay kategorize edilmedi"
"General: non-payment fee of a type not belonging to the other T01xx categories","Genel: Diğer T01xx kategorilerine ait olmayan tipte tahsilat komisyonu olmayan ücret"
"General: received payment of a type not belonging to the other T00xx categories","Genel: Diğer T00xx kategorilerine ait olmayan tipte yapılmış tahsilat"
"General: reversal of a type not belonging to the other T11xx categories","Genel: Diğer T11xx kategorilerine ait olmayan tipte ücret iadesi"
"General: temporary hold of a type not belonging to the other T15xx categories","Genel: Diğer T15xx kategorilerine ait olmayan tipte geçici askıya alma"
"Get Credentials from PayPal","Bilgileri PayPal 'dan al"
"Gift Certificate Payment: purchase of Gift Certificate","Hediye Çeki Ödemesi: Hediye Çekinin satın alımı"
"Gift Certificate Redemption","Hediye Çeki Bozdurma"
"Gross Amount","Brüt Toplam"
"Header Background Color","Başlık Arka Plan Rengi"
"Header Border Color","Başlık Çerçeve Rengi"
"Header Image URL","Başlık Resim URL"
"Help","Yardım"
"Hidden Virtual PayPal Debit Card Transaction","Gizli Sanal Paypal Debit Kart İşlemi"
"Hold for Dispute Investigation","İhtilaf araştırması için Askıda"
"IPN ""%s"".","IPN ""%s""."
"IPN ""%s"". %s Transaction amount %s. Transaction ID: ""%s""","IPN ""%s"". %s İşlem Tutarı %s. İşlem No: ""%s"""
"IPN ""%s"". A dispute has been resolved and closed. %s Transaction amount %s.","IPN ""%s"". Bir anlaşmazlık çözüldü ve kapatıldı. %s İşlem Tutarı %s."
"IPN ""%s"". Case type ""%s"". Case ID ""%s"" %s","IPN ""%s"". Konu Tipi ""%s"". Konu No ""%s"" %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Eğer boş bırakırsanız, varsayılan değer kullanılır. CardinalCommerce sözleşmesinde alternatif bir URL bulabilirsiniz."
"If not specified, Default Country from General Config will be used","Eğer tanımlanmamışsa, ana yapılandırmadaki varsayılan ülke kullanılacaktır"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Bu seçenek aktifse, müşteri teslimat yöntemini ve teslimat adresini PayPal sitesindeyken değiştirebilir. Gerçek modda iken sadece HTTPS protokolü ile çalışır."
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Hesabında tanımlanmış çoklu kullanıcı mevcut değilse, lütfen tedarikçi/satıcı hesap girişini yeniden yapınız."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Para tahsili işlemi olmayan bir işleme iade isteyemezsiniz."
"Incentive","Özendirici"
"Initiation Date","Davet Tarihi"
"Integral Evolution","Integral Evolution"
"Invoice ID","Fatura No"
"Issuer Liability","Kart Sağlayıcı Sorumluluğu"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Bu değeri her mağaza görünümü için ""Debit veya Kredi Kartı"" olarak ayarlamanız tavsiye edilir."
