"""%s"" coupon code is not valid.","""%s"" kupon kodu geçerli değil."
"%s","%s"
"%s / %s rate:","%s / %s oranı:"
"%s for %s","%s => %s"
"%s order(s) cannot be canceled","%s sipariş(ler) iptal edilemiyor"
"%s order(s) have been canceled.","%s sipariş(ler) iptal edildi."
"%s order(s) have been put on hold.","%s sipariş(ler) beklemeye alındı."
"%s order(s) have been released from holding status.","%s sipariş(ler) bekleme durumundan çıkarıldı."
"%s order(s) were not put on hold.","%s order(s) were not put on hold."
"%s order(s) were not released from holding status.","%s sipariş(ler) bekleme durumundan çıkarılamıyor."
"* - Enter custom price excluding tax","* - vergi hariç özel fiyat giriniz"
"* - Enter custom price including tax","* - vergi dahil özel fiyat giriniz"
"* Required Fields","* Zorunlu Alanlar"
"-- Please Select --","-- Lütfen Seçiniz --"
"-- Please Select Billing Agreement--","-- Lütfen Ödeme Onayı Seçiniz --"
"About This Order:","Bu Sipariş Hakkında"
"About This Profile:","Bu Profil Hakkında:"
"About Your Invoice","Faturanız Hakkında"
"About Your Order","Siparişiniz Hakkında"
"About Your Refund","İadeniz Hakkında"
"About Your Shipment","Teslimatınız Hakkında"
"Accept Payment","Ödemeyi Kabul Et"
"Accept or Deny Payment","Ödemeyi Kabul Et veya Reddet"
"Account Information","Hesap Bilgisi"
"Action","İşlem"
"Actions","İşlemler"
"Activate","Etkinleştir"
"Active","Aktif"
"Add","Ekle"
"Add New Address","Yeni Adres Ekle"
"Add Order Comments","Sipariş Açıklamaları Ekle"
"Add Package","Paket Ekle"
"Add Products","Ürünleri Ekle"
"Add Selected Product(s) to Option","Seçilen Ürüne(lere) Seçenek Ekle"
"Add Selected Product(s) to Order","Seçilen Ürünü(leri) Siparişe Ekle"
"Add Selected Product(s) to Package","Seçilen Ürüne(lere) Paket Ekle"
"Add To Order","Siparişe Ekle"
"Add Tracking Number","İzleme Numarası Ekle"
"Add comment to order","Siparişe Açıklama ekle"
"Add new comment to credit memo","İade kaydına açıklama ekle"
"Add new comment to shipment","Kargoya yeni açıklama ekle"
"Add new tracking number","İzleme numarası ekle"
