" was not delivered nor scanned"," iletilemedi ve taranamadı"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Her sipariş"" için sipariş başına tek teslim alma ücreti tanımlanabilir. ""Her paket"" için paket başına özel teslim alma ücreti tanımlanabilir."
"1 Day Freight","1 Gün Kargo"
"2 Day","2 gün"
"2 Day AM","2 Gün AM"
"2 Day Freight","2 Gün Kargo"
"2Day","2Gün"
"2nd Day Air","2.Gün Uçak Kargo"
"2nd Day Air AM","2. Gün Uçak Kargo AM"
"2nd Day Air AM Letter","2. Gün Uçak Kargo Doküman AM"
"2nd Day Air Letter","2. Gün Uçak Kargo Doküman"
"3 Day Freight","3 Gün Kargo"
"3 Day Select","3 Gün Seçimli"
"Access ID","Erişim No"
"Access License Number","Erişim Lisans Numarası"
"Account ID","Hesap No"
"Account Number","Hesap Numarası"
"Additional Protection Configuration Value","Ek Koruma Yapılandırma Değeri"
"Additional Protection Enabled","Ek Koruma Aktif edildi"
"Additional Protection Min Subtotal","Ek Koruma Minimum Ara Toplam"
"Additional Protection Value","Ek Koruma Değeri"
"Additional Protection Value Rounding Method","Ek Koruma Değer Yuvarlama Yöntemi"
"Adult","Yetişkin"
"Adult Signature Required","Yetişkin İmzası Gereklidir"
"Allowed Methods","İzin Verilen Yöntemler"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","%s %s üzerindeki siparişler için teslimat ücretlerini doğru hesaplayabilmek için paketi küçük parçalara ayırabilmeyi sağlar."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","70 kg üzerindeki siparişler için teslimat ücretlerini doğru hesaplayabilmek için paketi küçük parçalara ayırabilmeyi sağlar."
"Break bulk economy","Toplu ekonomi paketini parçala"
"Break bulk express","Toplu ekspres paketini parçala"
"Business Service Center","Hizmet Merkezi"
"Calculate Handling Fee","Teslim Alma Ücretini Hesapla"
"Canada Standard","Kanada Standart"
"Cannot identify measure unit for %s","%s için ölçü birimi tespit edilemiyor"
"Cannot identify weight unit for %s","%s için ağırlık birimi tespit edilemiyor"
"Cannot retrieve shipping rates","Teslimat ücreti getirilemedi"
"Centimeters","Santimetre"
"Commercial","Ticari"
"Configuration","Yapılandırma"
"Container","Çerçeve"
"Content Type","İçerik Tipi"
"Customer Packaging","Müşteri Paketlemesi"
"Customer Supplied Package","Müşteriye Verilen Paket"
"Customer services","Müşteri hizmetleri"
"DHL","DHL"
"DHL (Deprecated)","DHL (Önerilmez)"
"DHL service is not available at %s date","DHL servisi is % tarihinde kullanılamaz."
