"%s","%s"
"-- Please Select --","-- Lütfen Seçiniz --"
"Actions","İşlemler"
"Add Layout Update","Şablon Güncelleme Ekle"
"Add New Widget Instance","Yeni Bir Widget Ekle"
"All","Tümü"
"All Pages","Tüm Sayfalar"
"All Product Types","Tüm Ürün Tipleri"
"An error occurred during saving a widget: %s","widget kaydedilirken bir hata meydana geldi: %s"
"Anchor Categories","Bağlantılı Kategoriler"
"Apply","Uygula"
"Assign to Store Views","Mağaza Görünümüne Ata"
"Big Image","Büyük Resim"
"Block Reference","Blok Referansı"
"CMS","CMS"
"Categories","Kategoriler"
"Choose...","Seçiniz..."
"Close","Kapat"
"Continue","Devam et"
"Default Template","Varsayılan Şablon"
"Delete","Sil"
"Design Package/Theme","Tasarım Paketi/Teması"
"Export to:","Dışarı Çıkarılan:"
"Frontend Properties","Ön Sayfa Özellikleri"
"Generic Pages","Genel Sayfalar"
"Images","Resimler"
"Insert Widget","Widget Ekle"
"Insert Widget...","Widget Ekle..."
"Layout Updates","Şablon Güncelleme"
"Manage Widget Instances","Widget Örneklerini Yönet"
"New Instance","Yeni Örnek"
"New Widget Instance","Yeni Widget Örneği Ekle"
"Next page","Sonraki Sayfa"
"Non-Anchor Categories","Bağlantılı Olmayan Kategoriler"
"Not Selected","Seçilmedi"
"Open Chooser","Seçimi Aç"
"Page","Sayfa"
"Please Select Block Reference First","Lütfen Önce Blok Referansını Seçiniz"
"Previous page","Önceki sayfa"
"Products","Ürünler"
"Remove Layout Update","Şablon Güncellemesini Sil"
"Save and Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Select All","Hepsini Seç"
"Select Visible","Görünenleri Seç"
"Settings","Ayarlar"
"Sort Order","Sıralama"
"Sort Order of widget instances in the same block reference","Aynı blok içindeki kutucukların sıralama şekli"
"Specific %s","Özel %s"
"Specified Page","Belirtilen Sayfa"
"Template","Şablon"
"The information in this tab has been changed.","Bu sekmedeki veri değişti."
"The widget instance has been deleted.","Widget örneği silindi."
"The widget instance has been saved.","Widget örneği kaydedildi."
"This tab contains invalid data. Please solve the problem before saving.","Bu sekme hatalı veri içeriyor. Kaydetmeden önce problemi gideriniz."
"Thumbnail","Albüm Resim"
"Total %d records found","Toplam %d kayıt bulundu"
"Type","Tip"
"Unselect All","tüm seçimi kaldır"
"Unselect Visible","Görünenleri Seçimden Kaldır"
"View","Göster"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Insertion","Widget Ekleme"
"Widget Instance","Widget Örneği"
"Widget Instance Title","Widget Örneği Başlığı"
"Widget Options","Widget Seçenekleri"
"Widget Type","Widget Tipi"
"Widget Type is not specified","Widget tipi tanımlandı"
"Widget instance is not full complete to create.","Widget örneği kaydetmek için yeterli değil."
"Widgets","Widget"
"Wrong widget instance specified.","Hatalı widget örneği seçildi."
"items selected","kayıtlar seçildi"
"of %s pages","/ %s sayfa"
"per page","sayfa başı"
