" But cart has some errors."," Sepette bazı hatalar var."
" Note: Image size affects the performance of your app.","Not: Resim boyutu uygulamanızın performansını etkileyecektir."
"""Description"" is more than %d characters long","""Açıklama"" %d karakterden fazla"
"""Title"" is more than %d characters long","""Başlık"" %d karakterden fazla veri içeriyor"
"""id"" attribute is required for a ""%s"" field.","""%s"" alanı için ""id"" özelliği  gereklidir."
"""line_count"" attribute is required for ""multiline"" element.","""line_count"" özelliği için ""multiline"" elemanı zorunludur."
"""message"" attribute is required for ""%s"" validator rule."," ""%s"" onaylayıcı kural için message özelliği gereklidir."
"%1$s has been added to your wishlist.","%1$s takip listenize eklendi."
"%1$s incl tax.","%1$s vergi dahil."
"%@ is not correct","%@ doğru değildir."
"%s API Key required.","%s API anahtarı gerekiyor."
"%s Application ID required.","%s Uygulama no gerekiyor."
"%s Secret Key required.","%s Gizli Anahtar gerekiyor."
"%s attribute is required.","%s özelliği gereklidir."
"%s fields is required","%s alanı zorunludur."
"%s has been added to your cart.","%s sepetinize eklendi."
"%s id:","%s no:"
"%s was updated in your shopping cart.","Alışveriş sepetinizde %s güncellendi."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","Aşağıda listelenenden daha fazla ülke mevcut. Uygulama sahibi olarak, kendi ülkeniz dahil satışı ve dağıtımı yapılan diğer ülkelerdeki yasalara uymakla yükümlüsünüz.)"
"* - field is required","* - alanı zorunludur"
"*Subject to change","*Değiştirilecek Konu"
"1. Please select type of the action:","1. Lütfen işlem tipini seçiniz."
"10:40 AM","10:40"
"2. Please select a page","2. Lütfen bir sayfa seçiniz"
"2. Type Category Name","2. Tip Kategori Adı"
"2. Type Product Name","2. Tip Kategori Adı"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urban Airship.","Urban Airship e <a href=""%s"" target=""_blank"">Giriş</a> Yapınız."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Sadece bir katalog uygulaması, sepete ekle, takip listesine ekle veya giriş gibi fonksiyonları desteklemeyecektir."
"A new password has been sent.","Yeni şifre gönderildi."
"About","Hakkında"
"Access forbidden","Giriş engellendi"
"Account","Hesap"
"Account Information","Hesap Bilgisi"
"Account Settings","Hesap Ayarları"
"Account confirmation is required. Please check your email for the confirmation link.","Hesap doğrulaması zorunludur. Lütfen e-posta adresinize gelen doğrulama linkini kontrol ediniz."
"Account information has been saved.","Hesap bilgileri kaydedildi."
"Action","İşlem"
"Action type does\'t recognized","İşlem tipi kabul edilmedi"
"Action type does\'t recognized.","İşlem tipi kabul edilmedi."
